thread_id,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
11,1745471452373.02,1745471452538.09,1745471452538.41,1745471452538.41,1745471452555.70,1745471452555.70,1745471452555.92,0.31,17.29,0.23,17.83
9,1745471452390.09,1745471452555.94,1745471452556.52,1745471452556.52,1745471452573.75,1745471452573.75,1745471452573.83,0.58,17.23,0.08,17.89
3,1745471452407.80,1745471452573.85,1745471452574.52,1745471452574.52,1745471452591.73,1745471452591.73,1745471452591.81,0.66,17.21,0.08,17.95
2,1745471452425.84,1745471452591.83,1745471452592.49,1745471452592.49,1745471452609.76,1745471452609.76,1745471452610.23,0.66,17.27,0.47,18.40
10,1745471452443.72,1745471452610.25,1745471452610.85,1745471452610.85,1745471452628.10,1745471452628.10,1745471452628.20,0.60,17.25,0.10,17.95
7,1745471452461.40,1745471452628.22,1745471452628.82,1745471452628.82,1745471452645.99,1745471452645.99,1745471452646.07,0.60,17.17,0.08,17.85
5,1745471452479.59,1745471452646.09,1745471452646.41,1745471452646.41,1745471452663.67,1745471452663.67,1745471452663.90,0.31,17.26,0.23,17.81
1,1745471452499.45,1745471452663.92,1745471452664.50,1745471452664.50,1745471452681.62,1745471452681.62,1745471452681.86,0.58,17.11,0.24,17.94
4,1745471452514.69,1745471452681.88,1745471452682.45,1745471452682.45,1745471452699.16,1745471452699.16,1745471452699.43,0.57,16.70,0.27,17.54
8,1745471452532.39,1745471452699.45,1745471452700.06,1745471452700.06,1745471452718.14,1745471452718.14,1745471452718.86,0.61,18.08,0.72,19.41
6,1745471452550.18,1745471452719.04,1745471452720.30,1745471452720.30,1745471452737.34,1745471452737.34,1745471452737.41,1.25,17.04,0.07,18.37
11,1745471452568.05,1745471452737.44,1745471452737.67,1745471452737.67,1745471452754.39,1745471452754.39,1745471452754.47,0.24,16.72,0.07,17.03
9,1745471452586.21,1745471452754.49,1745471452755.02,1745471452755.02,1745471452772.04,1745471452772.04,1745471452772.11,0.53,17.02,0.08,17.62
3,1745471452604.20,1745471452772.14,1745471452772.45,1745471452772.45,1745471452789.61,1745471452789.61,1745471452789.69,0.32,17.16,0.08,17.55
2,1745471452622.64,1745471452789.71,1745471452789.88,1745471452789.88,1745471452807.16,1745471452807.16,1745471452807.65,0.17,17.28,0.48,17.94
10,1745471452640.29,1745471452807.67,1745471452808.18,1745471452808.18,1745471452825.42,1745471452825.42,1745471452825.52,0.51,17.24,0.10,17.85
7,1745471452658.15,1745471452825.60,1745471452826.15,1745471452826.15,1745471452843.40,1745471452843.40,1745471452843.47,0.55,17.24,0.08,17.87
5,1745471452676.07,1745471452843.49,1745471452843.81,1745471452843.81,1745471452861.10,1745471452861.10,1745471452861.63,0.32,17.29,0.53,18.14
1,1745471452699.94,1745471452861.65,1745471452862.23,1745471452862.23,1745471452879.28,1745471452879.28,1745471452879.35,0.58,17.05,0.08,17.70
4,1745471452711.61,1745471452879.37,1745471452879.86,1745471452879.86,1745471452896.63,1745471452896.63,1745471452896.90,0.48,16.77,0.27,17.52
8,1745471452731.79,1745471452896.93,1745471452897.51,1745471452897.51,1745471452914.75,1745471452914.75,1745471452915.01,0.58,17.24,0.25,18.07
6,1745471452749.14,1745471452915.03,1745471452915.62,1745471452915.62,1745471452932.89,1745471452932.89,1745471452932.98,0.59,17.26,0.09,17.95
11,1745471452766.44,1745471452933.00,1745471452933.31,1745471452933.31,1745471452950.63,1745471452950.63,1745471452950.85,0.31,17.31,0.22,17.85
9,1745471452784.05,1745471452950.87,1745471452951.45,1745471452951.45,1745471452968.83,1745471452968.83,1745471452968.91,0.58,17.38,0.08,18.04
3,1745471452801.81,1745471452968.95,1745471452969.25,1745471452969.25,1745471452986.45,1745471452986.45,1745471452986.53,0.30,17.20,0.08,17.58
2,1745471452819.86,1745471452986.55,1745471452987.18,1745471452987.18,1745471453003.97,1745471453003.97,1745471453004.03,0.63,16.79,0.06,17.48
10,1745471452837.79,1745471453004.05,1745471453004.22,1745471453004.22,1745471453021.31,1745471453021.31,1745471453021.36,0.17,17.08,0.06,17.31
7,1745471452855.60,1745471453021.38,1745471453022.04,1745471453022.04,1745471453038.98,1745471453038.98,1745471453039.03,0.66,16.94,0.05,17.64
5,1745471452873.78,1745471453039.05,1745471453039.21,1745471453039.21,1745471453055.91,1745471453055.91,1745471453055.97,0.16,16.70,0.07,16.93
1,1745471452893.65,1745471453056.00,1745471453056.17,1745471453056.17,1745471453072.61,1745471453072.61,1745471453072.68,0.17,16.44,0.07,16.69
4,1745471452909.18,1745471453072.71,1745471453073.00,1745471453073.00,1745471453089.65,1745471453089.65,1745471453089.72,0.29,16.66,0.07,17.01
8,1745471452927.22,1745471453089.74,1745471453090.04,1745471453090.04,1745471453106.95,1745471453106.95,1745471453107.00,0.30,16.90,0.05,17.26
6,1745471452945.13,1745471453107.02,1745471453107.29,1745471453107.29,1745471453123.91,1745471453123.91,1745471453123.98,0.26,16.62,0.07,16.95
11,1745471452963.06,1745471453124.00,1745471453124.58,1745471453124.58,1745471453141.50,1745471453141.50,1745471453141.54,0.59,16.91,0.05,17.54
9,1745471452980.87,1745471453141.56,1745471453141.87,1745471453141.87,1745471453158.77,1745471453158.77,1745471453158.82,0.30,16.90,0.05,17.25
