thread_id,Gstart,Gend,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
8,0,306,1745484464772.48,1745484464933.93,1745484464934.10,1745484464934.10,1745484464950.81,1745484464950.81,1745484464950.87,0.17,16.71,0.06,16.94
1,0,306,1745484464790.12,1745484464950.88,1745484464951.05,1745484464951.05,1745484464968.45,1745484464968.45,1745484464968.51,0.17,17.40,0.06,17.63
9,0,306,1745484464807.18,1745484464968.52,1745484464968.69,1745484464968.69,1745484464985.33,1745484464985.33,1745484464985.42,0.18,16.64,0.08,16.90
6,0,306,1745484464824.82,1745484464985.43,1745484464985.60,1745484464985.60,1745484465002.40,1745484465002.40,1745484465002.47,0.18,16.80,0.07,17.04
11,0,306,1745484464842.40,1745484465002.47,1745484465002.64,1745484465002.64,1745484465019.90,1745484465019.90,1745484465019.96,0.17,17.26,0.06,17.49
10,0,306,1745484464859.81,1745484465019.97,1745484465020.14,1745484465020.14,1745484465037.43,1745484465037.43,1745484465037.49,0.17,17.28,0.07,17.52
4,0,306,1745484464877.23,1745484465037.50,1745484465037.68,1745484465037.68,1745484465054.88,1745484465054.88,1745484465054.94,0.17,17.20,0.06,17.44
7,0,306,1745484464894.51,1745484465054.95,1745484465055.12,1745484465055.12,1745484465072.47,1745484465072.47,1745484465072.53,0.17,17.35,0.06,17.58
3,0,306,1745484464911.62,1745484465072.54,1745484465072.71,1745484465072.71,1745484465090.10,1745484465090.10,1745484465090.16,0.17,17.39,0.06,17.62
2,0,306,1745484464928.74,1745484465090.17,1745484465090.34,1745484465090.34,1745484465107.50,1745484465107.50,1745484465107.59,0.17,17.17,0.09,17.43
5,0,306,1745484464945.60,1745484465107.60,1745484465108.10,1745484465108.10,1745484465125.26,1745484465125.27,1745484465125.35,0.49,17.17,0.09,17.75
8,0,306,1745484464962.93,1745484465125.36,1745484465125.53,1745484465125.53,1745484465142.76,1745484465142.76,1745484465142.82,0.17,17.22,0.06,17.46
1,0,306,1745484464980.60,1745484465142.83,1745484465143.00,1745484465143.00,1745484465160.25,1745484465160.25,1745484465160.32,0.17,17.26,0.06,17.49
9,0,306,1745484464997.19,1745484465160.33,1745484465160.50,1745484465160.50,1745484465177.14,1745484465177.14,1745484465177.23,0.18,16.64,0.09,16.91
6,0,306,1745484465014.39,1745484465177.24,1745484465177.74,1745484465177.74,1745484465194.48,1745484465194.48,1745484465194.55,0.50,16.74,0.07,17.31
11,0,306,1745484465031.89,1745484465194.56,1745484465194.73,1745484465194.73,1745484465211.98,1745484465211.98,1745484465212.05,0.17,17.26,0.06,17.49
10,0,306,1745484465049.40,1745484465212.06,1745484465212.22,1745484465212.22,1745484465229.54,1745484465229.54,1745484465229.61,0.17,17.31,0.07,17.55
4,0,306,1745484465067.07,1745484465229.62,1745484465229.80,1745484465229.80,1745484465249.15,1745484465249.15,1745484465249.26,0.18,19.35,0.10,19.64
7,0,306,1745484465084.53,1745484465249.27,1745484465249.76,1745484465249.76,1745484465266.93,1745484465266.93,1745484465266.99,0.49,17.17,0.06,17.72
3,0,306,1745484465102.13,1745484465267.00,1745484465267.17,1745484465267.17,1745484465284.40,1745484465284.40,1745484465284.45,0.17,17.23,0.06,17.45
2,0,306,1745484465119.71,1745484465284.46,1745484465284.63,1745484465284.63,1745484465301.70,1745484465301.70,1745484465301.79,0.17,17.07,0.08,17.32
5,0,306,1745484465137.34,1745484465301.80,1745484465301.97,1745484465301.97,1745484465319.20,1745484465319.20,1745484465319.28,0.17,17.23,0.08,17.48
8,0,306,1745484465154.74,1745484465319.29,1745484465319.46,1745484465319.46,1745484465336.17,1745484465336.17,1745484465336.23,0.18,16.71,0.06,16.94
1,0,306,1745484465172.32,1745484465336.26,1745484465336.43,1745484465336.43,1745484465353.71,1745484465353.71,1745484465353.77,0.17,17.28,0.06,17.52
9,0,306,1745484465189.21,1745484465353.78,1745484465353.95,1745484465353.95,1745484465370.59,1745484465370.59,1745484465370.68,0.17,16.64,0.09,16.90
6,0,306,1745484465206.47,1745484465370.69,1745484465371.18,1745484465371.18,1745484465388.44,1745484465388.44,1745484465388.49,0.49,17.25,0.06,17.81
11,0,306,1745484465223.95,1745484465388.50,1745484465388.67,1745484465388.67,1745484465405.85,1745484465405.85,1745484465405.91,0.17,17.18,0.06,17.41
10,0,306,1745484465241.53,1745484465405.92,1745484465406.09,1745484465406.09,1745484465423.33,1745484465423.33,1745484465423.39,0.17,17.24,0.06,17.47
